source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val,radius_val
1824796952594126336,297.49300339610215,1.2920362828845633,19.942166730359386,1.5772835218794037,205.05511348869365,3.3243533125394564,20.516108,1.7655525,,,NOT_AVAILABLE,,,,
4064665931211229312,273.5311874706077,1.3401531425348046,-26.2488031854745,1.376006848539469,205.27616348311628,1.7362076519191028,19.554672,,,,NOT_AVAILABLE,,,,
4752399493622045696,43.771779603189835,0.20730177693589616,-47.01665137128772,0.21984366481037823,205.32664070988034,0.2544640613292425,18.610435,4.49856,,,NOT_AVAILABLE,,,,
823773494718931968,152.83322021404075,0.018364322957324018,49.452059055644156,0.023996652475602398,205.39166009104642,0.034236767837432576,5.9479012,1.7162127,-26.490390396450046,0.12559332556596028,NOT_AVAILABLE,4056.7378,0.7265,0.11876877,0.69766974
4052424415476996864,273.66151506499466,0.8580798907648232,-27.47100994758056,1.0664389304038961,205.63776708752695,1.7534732182055166,19.401424,,,,NOT_AVAILABLE,,,,
4264640501859889536,289.23702475845175,1.17347812094541,0.9427377095215146,1.1925950533376237,205.9430486607113,2.5552029549800843,20.199873,2.4951992,,,NOT_AVAILABLE,,,,
2441630500517079808,1.6764641244063048,0.09980506839452918,-7.546212317389292,0.06476906344300534,206.2134325090654,0.12813835338147714,11.780395,3.6914234,,,NOT_AVAILABLE,3314.0,0.412,,
4062638225710375040,269.3731852179562,1.1887392218724089,-28.401086488874164,0.9632816273350162,206.26360540076857,1.131346752461521,19.203577,,,,NOT_AVAILABLE,,,,
5254061535097566848,161.08537541572895,0.09256459155132106,-61.20286201386087,0.12884194954101402,206.81719717743016,0.07353596970699777,11.861345,3.7060223,,,NOT_AVAILABLE,3341.75,0.0885,,
4103048542186477312,278.93482944247415,1.6707291128827093,-15.380649650283972,1.9071662209678324,206.83969955321177,2.2106033532978193,20.068367,,,,NOT_AVAILABLE,,,,
4104956435328866432,278.7208311462006,1.9040777941750775,-12.531640709845218,2.066980279689252,206.97780129128014,2.3841431909399904,20.2919,,,,NOT_AVAILABLE,,,,
4116498111994707328,265.32794107403146,2.401497637146484,-23.146303683340577,1.2830921993044242,207.2596606216391,2.7253157788060918,20.171951,,,,NOT_AVAILABLE,,,,
4312788012962998784,288.26190684077204,2.187352340371868,11.234371022977268,1.9232462369897745,207.65424120027183,1.5926705565734602,20.89776,2.6440563,,,NOT_AVAILABLE,,,,
4050261744862162432,270.9630878187875,1.9019266326923818,-29.623202276021175,0.8503577971628551,207.9536027286229,2.0901709475346206,19.706587,,,,NOT_AVAILABLE,,,,
4254572583145353728,284.38488811970734,0.9629896619293079,-4.84718655969,1.0271628092656042,208.06064331214162,1.3643756158531275,19.447107,1.2870789,,,NOT_AVAILABLE,,,,
4062956499904480000,271.9804063628796,1.2449648958962836,-27.762743316950186,1.3680493631377646,208.11359336908845,1.6416267217869716,19.73625,,,,NOT_AVAILABLE,,,,
4120333208589131008,266.7286114225415,1.8807000019755606,-18.67583404253801,2.0612679894271246,208.11964412535073,2.1587923540877623,20.760546,,,,NOT_AVAILABLE,,,,
4065091167336667264,274.35019899297805,1.5714664765769926,-25.429264765346975,0.8616383357928599,208.4030209936312,1.649291671970238,18.964212,,,,NOT_AVAILABLE,,,,
4506329753406651520,284.29888149487095,1.231346764911317,13.839959900167583,3.094852687359636,208.62962472782937,3.838466023353024,20.794678,,,,NOT_AVAILABLE,,,,
4063014945845768448,272.58002205815495,0.9091591263373415,-27.1394031093361,0.956062687925062,208.65020621492317,1.1852179716146358,19.745354,1.3876476,,,NOT_AVAILABLE,,,,
4043008644578369152,271.7865176819707,1.0308160525183554,-32.15974375919284,0.9493989127818325,208.7968810119391,1.3977401804460645,19.689592,1.1424541,,,NOT_AVAILABLE,,,,
4053208676529828736,275.6794588432289,1.6079948869985161,-25.070951239168128,2.13910542235206,209.79727792738277,2.4732443029523568,19.800999,,,,NOT_AVAILABLE,,,,
4062439042264217088,271.268727080451,1.168416178773627,-28.54553259971807,0.4988688058679929,209.81481049938165,1.1913568281515399,19.245451,,,,NOT_AVAILABLE,,,,
4103983230120100352,276.64052312695856,1.636987349374657,-15.202066253855115,2.061533125445763,210.16264671514537,2.1294984889856896,20.09933,,,,NOT_AVAILABLE,,,,
4063099745661527040,270.7225360253735,0.8722744464211829,-27.658697329200756,0.7888094618788867,210.4271666283348,1.0317343417757157,19.593248,,,,NOT_AVAILABLE,,,,
4058446578120850048,263.00454756015444,1.4228105407084475,-30.04165839307297,0.9680058507785033,210.45995083296287,1.5515314151729578,19.986029,,,,NOT_AVAILABLE,,,,
