phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
20.01302,,,115.90308040820854
4.014689,4.4165998,3.6498833,116.1298269214075
12.1231575,14.152761,10.795392,116.15358522841444
9.282985,10.6354065,8.162718,116.41271929743458
20.336912,19.996119,18.967945,116.41843797163035
20.344526,,,116.5665604824554
20.687147,,,116.70677828793264
19.021282,,,116.73886144197581
11.767098,13.676033,10.479667,116.8095676223857
19.814987,20.255348,18.24835,116.84203188607479
20.492147,20.595308,18.45209,116.9188284876376
15.437707,16.118174,14.669679,117.1506252396507
3.987166,4.39077,3.630701,117.16788758126215
20.273447,,,117.3091111227724
20.705744,20.484596,19.265669,117.31492308534237
11.83251,11.902135,11.679725,117.32810331878989
9.490528,10.860535,8.367459,117.35603814633407
4.477233,4.9251175,4.054181,117.5730704618449
19.952723,19.131695,,117.67526837936698
11.673873,13.39229,10.433288,117.74101593106799
20.072369,,,117.83764180226565
20.841675,,,117.94789841054295
19.220232,19.215868,18.06871,118.12067538304072
14.38523,14.831918,13.772315,118.12427093474675
20.565435,18.888985,19.908815,118.35321610998976
19.655361,19.918732,18.327168,118.44786220255511
20.402533,,,118.56614618364486
20.382885,,,118.68823453426153
20.085335,19.810472,18.242105,118.72095598160413
20.236876,,,118.77603353884166
17.766903,,,118.88742797392236
18.811693,,,118.99720447825582
20.482555,19.59194,18.304716,119.04788778469546
14.576156,17.887445,13.008022,119.09619027997934
3.1213324,3.7542768,2.752319,119.11279002032472
20.815031,,18.60151,119.12793474067624
20.266264,,,119.20092649237155
17.820879,17.309582,16.26237,119.23800925059878
12.835808,15.0726595,11.468056,119.25476313447487
19.485611,19.651651,17.88857,119.29515717747462
7.75074,8.575575,6.656546,119.33987373101913
20.448532,21.100628,18.701746,119.36629438096871
19.165567,,,119.61586991261348
11.153368,12.929868,9.912992,119.71064446650152
8.97734,10.075691,7.4712496,119.79076835687037
20.077919,,,119.88003704186599
20.042112,19.760252,18.41316,119.92380086964452
12.913678,12.994309,12.701542,119.97523880714796
7.982189,9.016173,6.983926,120.17911529487839
19.99683,,,120.31883932080463
20.211205,20.12786,18.75339,120.38372715505216
19.352062,18.806423,,120.45353958253166
19.773457,,,120.56279082148339
19.408344,,,120.62833464490399
19.748892,,,120.67363019350313
19.613115,19.336367,18.271364,120.77402891382376
19.613184,19.82177,18.391262,120.79680103882882
20.069693,,,120.80470741854108
19.24735,18.632303,17.20847,120.83507460114114
19.792982,,,120.87867586324532
20.603899,19.774424,19.133348,120.92175180795276
19.596813,,,121.11550740191775
19.402843,,,121.1238712528443
20.038534,,,121.32111852397237
20.773859,20.108398,19.003626,121.32705728425837
8.933432,10.276658,7.8120403,121.42374778335062
19.84296,,,121.44776991543448
8.700078,10.076381,7.5616326,121.44867247133712
7.2520843,8.117403,6.372767,121.49178442073539
10.545187,12.141218,9.351351,121.7378892266424
19.710129,,,121.7877055086952
20.66272,,,121.81438134174999
19.442123,19.6493,17.645035,122.03032369497184
19.534197,,,122.04566431475102
5.4815745,5.975546,4.9180384,122.05515593526933
20.640093,,,122.06290426688052
5.6040273,6.110481,5.017446,122.13334113520919
19.526001,19.67263,17.543447,122.22039554059864
18.91136,,,122.26746066605794
20.18398,20.261421,18.441244,122.2796595896207
19.896362,,,122.2863962033717
20.572802,20.45058,18.885792,122.29735515312039
19.809538,19.028568,17.581789,122.31696091134609
13.788775,14.135261,13.272752,122.36527929405577
20.912704,19.749588,19.623007,122.42414961552673
8.73899,9.8398485,7.7225275,122.56089218888775
19.142296,18.71801,16.936295,122.56340772675891
20.444164,20.884632,19.271288,122.67640446016998
20.398905,,,122.80157686694581
20.81536,,,122.86797864974602
9.383165,10.867488,8.210818,123.05682256536944
10.665439,12.387353,9.433626,123.22044406264469
20.49375,,,123.22574224890015
19.82261,21.746798,18.083624,123.27575959979849
20.683382,20.832798,19.225086,123.55867317385467
18.619078,,,123.57173078579252
19.576687,,,123.57231417495268
20.072176,,,123.64624304973285
9.421499,10.7892,8.299046,123.75448674282065
11.839412,13.884759,10.501677,123.77457976946148
20.687006,,,123.8193688194253
10.093957,11.664725,8.902246,123.82147281727127
19.145876,,,123.91521999182892
20.105522,19.28917,18.337458,124.11727721033454
20.347557,,,124.24632378160658
10.978804,12.488929,9.813368,124.2526336867685
2.965426,3.5003886,2.721733,124.3489444116274
10.369367,11.819935,9.188269,124.38100754712372
20.478687,,,124.39174388070187
11.693838,13.553186,10.406259,124.40735133330487
19.981474,20.117155,19.246758,124.43029882952766
10.409575,11.8512535,9.133672,124.57402186049774
20.372622,20.115978,18.495857,124.63699112251028
20.547514,,,124.70540117267545
19.799294,,,125.03325825527142
12.044649,14.08934,10.708283,125.07723372187434
19.552834,19.325937,17.455172,125.08690327111381
19.207642,,,125.17728168157784
20.034779,20.086546,17.92424,125.22492532294649
20.837608,,,125.29567708405449
20.524227,,,125.48382636792896
11.878,13.802336,10.580307,125.58721928118922
20.070543,,,125.64390971344022
20.645002,,,125.83455859731546
20.205574,20.265577,18.283691,125.8995541785713
19.908031,19.872168,19.267176,125.92421636327154
20.251974,19.757347,18.661205,126.10284922249076
20.463402,,,126.12636563796644
19.83367,,,126.23780059998418
19.579746,,,126.37131845643425
20.663155,21.797281,19.359072,126.37905762401705
19.71841,18.92,17.753706,126.55072644146016
19.931051,,,126.70265124577216
19.613644,,,126.91483274950632
20.09583,,,126.91491694872902
20.958385,21.004763,19.052486,127.0082811344467
20.836815,21.672512,18.547686,127.11696994478035
20.910316,,,127.15189202446935
19.919054,19.2938,17.905054,127.1729633974614
19.3916,,,127.19123307455804
20.224556,,18.306787,127.22965423934498
19.988077,,,127.33386181267898
19.851326,18.994074,19.243114,127.34404672994535
19.551903,,,127.44504510054682
9.259383,10.542331,8.158014,127.47848562091643
19.304111,18.98349,17.977455,127.7450191464091
19.906181,,,127.80930283687688
20.69237,20.533445,18.451021,127.9845700393168
20.409,19.792944,18.382973,128.10851974279353
20.485704,21.069483,19.086714,128.38795302033725
19.501034,,,128.45629047867115
11.772652,13.723242,10.459343,128.4871449740559
18.25487,,,128.68888589884787
20.267628,,,128.74779888322215
19.891851,,,129.0002309507299
20.285736,,,129.00137717199735
12.799904,15.163787,11.403279,129.0022580603659
14.856849,18.330214,13.287826,129.05051023266373
19.934135,,,129.17599263655984
8.516651,9.6217575,7.4942484,129.39220239848663
10.408431,12.008722,9.211174,129.45887126938604
6.9265294,7.77223,6.056808,129.6231231919722
20.087065,,,129.7652266136735
20.348658,,,129.76684306865408
8.331304,9.508087,7.2742906,129.7887262404026
19.929836,19.620478,18.343008,129.79489502824936
18.494026,18.179907,16.80028,129.83353353506027
19.749538,,,130.13528449859083
9.460459,10.841886,8.33778,130.18703621101807
11.135715,12.904278,9.881357,130.30316459809544
20.244646,,,130.34641081907546
18.25535,17.423365,16.2742,130.38346897445624
20.373394,,,130.4346155938818
11.920307,13.771047,10.637127,130.77220441381112
